s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX,accumulated_sentiment
,165.43,165.43,165.43,165.43,0.0,1998-08-12,161.7485854,91.17095101,8.829048993,55.50546183,
,166.02,166.02,166.02,166.02,0.0,1998-08-13,162.3376118,92.99590873,7.004091272,61.60273296,
,166.28,166.28,166.28,166.28,0.0,1998-08-17,163.0004417,93.71187327,6.288126728,66.76693567,
,165.75,165.75,165.75,165.75,0.0,1998-08-18,163.6563533,74.34696309,25.65303691,63.15233378,
,166.47,166.47,166.47,166.47,0.0,1998-08-19,164.1810827,81.01045718,18.98954282,62.92604989,
,166.08,166.08,166.08,166.08,0.0,1998-08-20,164.6388661,68.89373656,31.10626344,57.89833454,
,166.83,166.83,166.83,166.83,0.0,1998-08-23,165.0050929,77.12005695,22.87994305,57.16669041,
,166.19,166.19,166.19,166.19,0.0,1998-08-24,165.3700743,60.1518642,39.8481358,49.79409801,
,166.82,166.82,166.82,166.82,0.0,1998-08-25,165.6620595,68.64157779,31.35842221,47.29190952,
,166.66,166.66,166.66,166.66,0.0,1998-08-26,165.8956476,64.29308512,35.70691488,43.55076166,
,166.21,166.21,166.21,166.21,0.0,1998-08-27,166.0825181,52.58213249,47.41786751,35.87346233,
,166.59,166.59,166.59,166.59,0.0,1998-08-30,166.21,60.22888185,39.77111815,32.7903226,
,166.54,166.54,166.54,166.54,0.0,1998-08-31,166.21,58.67267561,41.32732439,29.70132833,
,166.56,166.56,166.56,166.56,0.0,1998-09-01,166.334,59.19977788,40.80022212,27.44097381,
,166.17,166.17,166.17,166.17,0.0,1998-09-02,166.83,45.16010078,54.83989922,23.88873874,
,166.36,166.36,166.36,166.36,0.0,1998-09-03,166.8168,52.0807392,47.9192608,19.94328667,
,166.37,166.37,166.37,166.37,0.0,1998-09-06,166.803864,52.47531024,47.52468976,16.94475343,
,166.21,166.21,166.21,166.21,0.0,1998-09-07,166.7911867,45.05549832,54.94450168,15.53360342,
,167.3,167.3,167.3,167.3,0.0,1998-09-08,166.17,75.07142838,24.92857162,22.45545409,
,167.49,167.49,167.49,167.49,0.0,1998-09-09,166.1926,77.72309835,22.27690165,29.05360261,
,167.74,167.74,167.74,167.74,0.0,1998-09-10,166.244496,81.04015753,18.95984247,35.6589451,
,168.06,168.06,168.06,168.06,0.0,1998-09-13,166.3342262,84.68809674,15.31190326,42.40239477,
,168.21,168.21,168.21,168.21,0.0,1998-09-14,166.4722881,86.23941549,13.76058451,48.41768202,
,168.51,168.51,168.51,168.51,0.0,1998-09-15,166.6460593,89.0203991,10.9796009,54.34230525,
